Date,Flight Number,From,To
22-11-2024,PA001,London,New York
23-11-2024,PA001,London,New York
23-11-2024,PA002,New York,London
24-11-2024,PA001,London,New York
27-11-2024,PA001,London,New York
27-11-2024,PA002,New York,London
30-11-2024,PA001,London,New York
30-11-2024,PA002,New York,London
01-12-2024,PA002,New York,London
02-12-2024,PA001,London,New York
03-12-2024,PA002,New York,London
05-12-2024,PA001,London,New York
05-12-2024,PA002,New York,London
06-12-2024,PA001,London,New York
07-12-2024,PA001,London,New York
08-12-2024,PA001,London,New York
08-12-2024,PA002,New York,London
09-12-2024,PA002,New York,London
10-12-2024,PA002,New York,London
11-12-2024,PA001,London,New York
11-12-2024,PA002,New York,London
13-12-2024,PA002,New York,London
14-12-2024,PA001,London,New York
15-12-2024,PA002,New York,London
16-12-2024,PA002,New York,London
17-12-2024,PA002,New York,London
18-12-2024,PA002,New York,London
19-12-2024,PA001,London,New York
20-12-2024,PA001,London,New York
20-12-2024,PA002,New York,London
21-12-2024,PA001,London,New York
21-12-2024,PA002,New York,London
22-12-2024,PA001,London,New York
22-12-2024,PA002,New York,London
23-12-2024,PA002,New York,London
24-12-2024,PA001,London,New York
25-12-2024,PA002,New York,London
26-12-2024,PA001,London,New York
27-12-2024,PA001,London,New York
28-12-2024,PA001,London,New York
28-12-2024,PA002,New York,London
29-12-2024,PA002,New York,London
30-12-2024,PA001,London,New York
31-12-2024,PA001,London,New York
31-12-2024,PA002,New York,London
18-11-2024,PA003,London,Perth
18-11-2024,PA004,Perth,London
19-11-2024,PA003,London,Perth
20-11-2024,PA004,Perth,London
21-11-2024,PA003,London,Perth
22-11-2024,PA003,London,Perth
23-11-2024,PA003,London,Perth
25-11-2024,PA003,London,Perth
28-11-2024,PA004,Perth,London
29-11-2024,PA003,London,Perth
29-11-2024,PA004,Perth,London
30-11-2024,PA004,Perth,London
01-12-2024,PA004,Perth,London
02-12-2024,PA004,Perth,London
03-12-2024,PA003,London,Perth
03-12-2024,PA004,Perth,London
04-12-2024,PA003,London,Perth
04-12-2024,PA004,Perth,London
05-12-2024,PA003,London,Perth
05-12-2024,PA004,Perth,London
06-12-2024,PA003,London,Perth
07-12-2024,PA004,Perth,London
08-12-2024,PA003,London,Perth
09-12-2024,PA003,London,Perth
10-12-2024,PA003,London,Perth
10-12-2024,PA004,Perth,London
11-12-2024,PA004,Perth,London
12-12-2024,PA003,London,Perth
13-12-2024,PA003,London,Perth
15-12-2024,PA003,London,Perth
15-12-2024,PA004,Perth,London
16-12-2024,PA004,Perth,London
17-12-2024,PA004,Perth,London
18-12-2024,PA004,Perth,London
20-12-2024,PA004,Perth,London
21-12-2024,PA003,London,Perth
21-12-2024,PA004,Perth,London
22-12-2024,PA004,Perth,London
23-12-2024,PA003,London,Perth
23-12-2024,PA004,Perth,London
24-12-2024,PA004,Perth,London
25-12-2024,PA003,London,Perth
25-12-2024,PA004,Perth,London
26-12-2024,PA003,London,Perth
26-12-2024,PA004,Perth,London
28-12-2024,PA004,Perth,London
29-12-2024,PA003,London,Perth
29-12-2024,PA004,Perth,London
30-12-2024,PA003,London,Perth
31-12-2024,PA004,Perth,London
15-11-2024,PA005,London,Tokyo
20-11-2024,PA005,London,Tokyo
20-11-2024,PA006,Tokyo,London
21-11-2024,PA005,London,Tokyo
21-11-2024,PA006,Tokyo,London
22-11-2024,PA005,London,Tokyo
23-11-2024,PA005,London,Tokyo
24-11-2024,PA005,London,Tokyo
26-11-2024,PA005,London,Tokyo
26-11-2024,PA006,Tokyo,London
27-11-2024,PA005,London,Tokyo
27-11-2024,PA006,Tokyo,London
28-11-2024,PA005,London,Tokyo
28-11-2024,PA006,Tokyo,London
30-11-2024,PA006,Tokyo,London
02-12-2024,PA005,London,Tokyo
02-12-2024,PA006,Tokyo,London
04-12-2024,PA005,London,Tokyo
